,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
52144,20170106,2017,1,6,¸¶´Ã,32.482,7260.0,7330.0,10405.0,10517.0
52151,20170107,2017,1,7,¸¶´Ã,32.299,7250.0,7260.0,10517.0,10517.0
52160,20170303,2017,3,3,¸¶´Ã,25.72,7200.0,7250.0,10332.0,10182.0
52167,20170304,2017,3,4,¸¶´Ã,24.847,7150.0,7200.0,10182.0,10163.0
52174,20170305,2017,3,5,¸¶´Ã,24.847,7150.0,7200.0,10182.0,10163.0
52181,20170306,2017,3,6,¸¶´Ã,24.847,7150.0,7200.0,10182.0,10163.0
52185,20160907,2016,9,7,¸¶´Ã,27.286,6750.0,6650.0,10133.0,10164.0
52192,20160908,2016,9,8,¸¶´Ã,32.001,7000.0,6750.0,10164.0,10164.0
52199,20160909,2016,9,9,¸¶´Ã,32.001,7000.0,7000.0,10164.0,10164.0
52206,20160910,2016,9,10,¸¶´Ã,32.001,7000.0,7000.0,10164.0,10131.0
52214,20161108,2016,11,8,¸¶´Ã,30.199,7200.0,7100.0,10328.0,10351.0
52221,20161109,2016,11,9,¸¶´Ã,30.199,7200.0,7200.0,10351.0,10366.0
52228,20161110,2016,11,10,¸¶´Ã,30.199,7200.0,7200.0,10366.0,10366.0
52235,20161111,2016,11,11,¸¶´Ã,30.672,7200.0,7200.0,10366.0,10383.0
52238,20170108,2017,1,8,¸¶´Ã,32.299,7250.0,7260.0,10517.0,10517.0
52245,20170109,2017,1,9,¸¶´Ã,32.299,7250.0,7260.0,10517.0,10517.0
52252,20170110,2017,1,10,¸¶´Ã,33.212,7300.0,7250.0,10517.0,10575.0
52259,20170111,2017,1,11,¸¶´Ã,32.175,7300.0,7300.0,10575.0,10566.0
52268,20170307,2017,3,7,¸¶´Ã,24.847,7150.0,7150.0,10163.0,10163.0
52275,20170308,2017,3,8,¸¶´Ã,24.847,7150.0,7150.0,10163.0,10214.0
52282,20170309,2017,3,9,¸¶´Ã,24.847,7150.0,7150.0,10214.0,10186.0
52289,20170310,2017,3,10,¸¶´Ã,24.847,7150.0,7150.0,10186.0,10221.0
52294,20160911,2016,9,11,¸¶´Ã,31.455,7000.0,7000.0,10164.0,10131.0
52301,20160912,2016,9,12,¸¶´Ã,31.455,7000.0,7000.0,10164.0,10131.0
52308,20160913,2016,9,13,¸¶´Ã,33.333,7100.0,7000.0,10131.0,10082.0
52315,20160914,2016,9,14,¸¶´Ã,31.455,7000.0,7100.0,10082.0,10103.0
52323,20161112,2016,11,12,¸¶´Ã,30.672,7200.0,7200.0,10383.0,10383.0
52330,20161113,2016,11,13,¸¶´Ã,30.672,7200.0,7200.0,10383.0,10383.0
52337,20161114,2016,11,14,¸¶´Ã,30.672,7200.0,7200.0,10383.0,10383.0
52344,20161115,2016,11,15,¸¶´Ã,30.672,7200.0,7200.0,10383.0,10432.0
52347,20170112,2017,1,12,¸¶´Ã,32.175,7300.0,7300.0,10566.0,10566.0
52354,20170113,2017,1,13,¸¶´Ã,32.175,7300.0,7300.0,10566.0,10242.0
52361,20170114,2017,1,14,¸¶´Ã,33.08,7350.0,7300.0,10242.0,10145.0
52368,20170115,2017,1,15,¸¶´Ã,33.08,7350.0,7300.0,10242.0,10145.0
52377,20170311,2017,3,11,¸¶´Ã,22.432,7150.0,7150.0,10221.0,10221.0
52384,20170312,2017,3,12,¸¶´Ã,22.432,7150.0,7150.0,10221.0,10221.0
52391,20170313,2017,3,13,¸¶´Ã,22.432,7150.0,7150.0,10221.0,10221.0
52398,20170314,2017,3,14,¸¶´Ã,22.432,7150.0,7150.0,10221.0,10285.0
